DATETIME, VALUE
01/01/2024 12:00 AM, 0
01/01/2024  1:00 AM, 0
01/01/2024  2:00 AM, 0
01/01/2024  3:00 AM, 0
01/01/2024  4:00 AM, 0
01/01/2024  5:00 AM, 0
01/01/2024  6:00 AM, 8.2571
01/01/2024  7:00 AM, 10
01/01/2024  8:00 AM, 0
01/01/2024  9:00 AM, 0
01/01/2024 10:00 AM, 0
01/01/2024 11:00 AM, 0
01/01/2024 12:00 PM, 0
01/01/2024  1:00 PM, 0
01/01/2024  2:00 PM, 0
01/01/2024  3:00 PM, 0
01/01/2024  4:00 PM, 10
01/01/2024  5:00 PM, 0
01/01/2024  6:00 PM, 10
01/01/2024  7:00 PM, 0
01/01/2024  8:00 PM, 0
01/01/2024  9:00 PM, 8.333
01/01/2024 10:00 PM, 0
01/01/2024 11:00 PM, 0
01/02/2024 12:00 AM, 0
01/02/2024  1:00 AM, 0
01/02/2024  2:00 AM, 0
01/02/2024  3:00 AM, 0
01/02/2024  4:00 AM, 0
01/02/2024  5:00 AM, 0
01/02/2024  6:00 AM, 8.2571
01/02/2024  7:00 AM, 10
01/02/2024  8:00 AM, 0
01/02/2024  9:00 AM, 0
01/02/2024 10:00 AM, 0
01/02/2024 11:00 AM, 0
01/02/2024 12:00 PM, 0
01/02/2024  1:00 PM, 0
01/02/2024  2:00 PM, 0
01/02/2024  3:00 PM, 0
01/02/2024  4:00 PM, 10
01/02/2024  5:00 PM, 0
01/02/2024  6:00 PM, 6.5901
01/02/2024  7:00 PM, 10
01/02/2024  8:00 PM, 0
01/02/2024  9:00 PM, 0
01/02/2024 10:00 PM, 0
01/02/2024 11:00 PM, 0
01/03/2024 12:00 AM, 0
01/03/2024  1:00 AM, 0
01/03/2024  2:00 AM, 0
01/03/2024  3:00 AM, 0
01/03/2024  4:00 AM, 0
01/03/2024  5:00 AM, 0
01/03/2024  6:00 AM, 8.2571
01/03/2024  7:00 AM, 10
01/03/2024  8:00 AM, 0
01/03/2024  9:00 AM, 0
01/03/2024 10:00 AM, 0
01/03/2024 11:00 AM, 0
01/03/2024 12:00 PM, 0
01/03/2024  1:00 PM, 0
01/03/2024  2:00 PM, 0
01/03/2024  3:00 PM, 0
01/03/2024  4:00 PM, 10
01/03/2024  5:00 PM, 0
01/03/2024  6:00 PM, 10
01/03/2024  7:00 PM, 6.5901
01/03/2024  8:00 PM, 0
01/03/2024  9:00 PM, 0
01/03/2024 10:00 PM, 0
01/03/2024 11:00 PM, 0
01/04/2024 12:00 AM, 0
01/04/2024  1:00 AM, 0
01/04/2024  2:00 AM, 0
01/04/2024  3:00 AM, 0
01/04/2024  4:00 AM, 0
01/04/2024  5:00 AM, 0
01/04/2024  6:00 AM, 0
01/04/2024  7:00 AM, 0
01/04/2024  8:00 AM, 0
01/04/2024  9:00 AM, 0
01/04/2024 10:00 AM, 0
01/04/2024 11:00 AM, 0
01/04/2024 12:00 PM, 0
01/04/2024  1:00 PM, 0
01/04/2024  2:00 PM, 0
01/04/2024  3:00 PM, 0
01/04/2024  4:00 PM, 0
01/04/2024  5:00 PM, 0
01/04/2024  6:00 PM, 8.2571
01/04/2024  7:00 PM, 10
01/04/2024  8:00 PM, 0
01/04/2024  9:00 PM, 0
01/04/2024 10:00 PM, 0
01/04/2024 11:00 PM, 0
01/05/2024 12:00 AM, 0
01/05/2024  1:00 AM, 0
01/05/2024  2:00 AM, 0
01/05/2024  3:00 AM, 0
01/05/2024  4:00 AM, 0
01/05/2024  5:00 AM, 0
01/05/2024  6:00 AM, 0
01/05/2024  7:00 AM, 0
01/05/2024  8:00 AM, 0
01/05/2024  9:00 AM, 0
01/05/2024 10:00 AM, 0
01/05/2024 11:00 AM, 0
01/05/2024 12:00 PM, 0
01/05/2024  1:00 PM, 0
01/05/2024  2:00 PM, 0
01/05/2024  3:00 PM, 0
01/05/2024  4:00 PM, 0
01/05/2024  5:00 PM, 10
01/05/2024  6:00 PM, 8.2571
01/05/2024  7:00 PM, 0
01/05/2024  8:00 PM, 0
01/05/2024  9:00 PM, 8.333
01/05/2024 10:00 PM, 0
01/05/2024 11:00 PM, 0
01/06/2024 12:00 AM, 0
01/06/2024  1:00 AM, 0
01/06/2024  2:00 AM, 0
01/06/2024  3:00 AM, 0
01/06/2024  4:00 AM, 0
01/06/2024  5:00 AM, 0
01/06/2024  6:00 AM, 10
01/06/2024  7:00 AM, 0
01/06/2024  8:00 AM, 0
01/06/2024  9:00 AM, 0
01/06/2024 10:00 AM, 0
01/06/2024 11:00 AM, 0
01/06/2024 12:00 PM, 0
01/06/2024  1:00 PM, 0
01/06/2024  2:00 PM, 0
01/06/2024  3:00 PM, 0
01/06/2024  4:00 PM, 0
01/06/2024  5:00 PM, 10
01/06/2024  6:00 PM, 8.2571
01/06/2024  7:00 PM, 0
01/06/2024  8:00 PM, 0
01/06/2024  9:00 PM, 0
01/06/2024 10:00 PM, 0
01/06/2024 11:00 PM, 0
01/07/2024 12:00 AM, 0
01/07/2024  1:00 AM, 0
01/07/2024  2:00 AM, 0
01/07/2024  3:00 AM, 0
01/07/2024  4:00 AM, 0
01/07/2024  5:00 AM, 0
01/07/2024  6:00 AM, 0
01/07/2024  7:00 AM, 10
01/07/2024  8:00 AM, 0
01/07/2024  9:00 AM, 0
01/07/2024 10:00 AM, 0
01/07/2024 11:00 AM, 0
01/07/2024 12:00 PM, 0
01/07/2024  1:00 PM, 0
01/07/2024  2:00 PM, 0
01/07/2024  3:00 PM, 0
01/07/2024  4:00 PM, 10
01/07/2024  5:00 PM, 0
01/07/2024  6:00 PM, 6.5901
01/07/2024  7:00 PM, 10
01/07/2024  8:00 PM, 0
01/07/2024  9:00 PM, 0
01/07/2024 10:00 PM, 0
01/07/2024 11:00 PM, 0
01/08/2024 12:00 AM, 0
01/08/2024  1:00 AM, 0
01/08/2024  2:00 AM, 0
01/08/2024  3:00 AM, 0
01/08/2024  4:00 AM, 0
01/08/2024  5:00 AM, 0
01/08/2024  6:00 AM, 0
01/08/2024  7:00 AM, 0
01/08/2024  8:00 AM, 0
01/08/2024  9:00 AM, 0
01/08/2024 10:00 AM, 0
01/08/2024 11:00 AM, 0
01/08/2024 12:00 PM, 0
01/08/2024  1:00 PM, 0
01/08/2024  2:00 PM, 0
01/08/2024  3:00 PM, 10
01/08/2024  4:00 PM, 0
01/08/2024  5:00 PM, 0
01/08/2024  6:00 PM, 0
01/08/2024  7:00 PM, 0
01/08/2024  8:00 PM, 0
01/08/2024  9:00 PM, 8.2571
01/08/2024 10:00 PM, 0
01/08/2024 11:00 PM, 0
01/09/2024 12:00 AM, 0
01/09/2024  1:00 AM, 0
01/09/2024  2:00 AM, 0
01/09/2024  3:00 AM, 0
01/09/2024  4:00 AM, 0
01/09/2024  5:00 AM, 10
01/09/2024  6:00 AM, 8.2571
01/09/2024  7:00 AM, 0
01/09/2024  8:00 AM, 0
01/09/2024  9:00 AM, 0
01/09/2024 10:00 AM, 0
01/09/2024 11:00 AM, 0
01/09/2024 12:00 PM, 0
01/09/2024  1:00 PM, 0
01/09/2024  2:00 PM, 0
01/09/2024  3:00 PM, 0
01/09/2024  4:00 PM, 0
01/09/2024  5:00 PM, 0
01/09/2024  6:00 PM, 10
01/09/2024  7:00 PM, 0
01/09/2024  8:00 PM, 10
01/09/2024  9:00 PM, 0
01/09/2024 10:00 PM, 0
01/09/2024 11:00 PM, 0
01/10/2024 12:00 AM, 0
01/10/2024  1:00 AM, 0
01/10/2024  2:00 AM, 0
01/10/2024  3:00 AM, 0
01/10/2024  4:00 AM, 0
01/10/2024  5:00 AM, 0
01/10/2024  6:00 AM, 10
